Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  7.89      0.03     0.03   167118     0.00     0.00  stella::graphics::Renderer::Submit(stella::graphics::Sprite const&)
  7.89      0.06     0.03    13932     0.00     0.01  Render::update(entityx::EntityManager&, entityx::EventManager&, double)::{lambda(entityx::Entity, SpatialComponent&, TextureComponent&)#1}::operator()(entityx::Entity, SpatialComponent&, TextureComponent&) const
  5.26      0.08     0.02   175477     0.00     0.00  entityx::BasePool::get(unsigned long)
  5.26      0.10     0.02   167118     0.00     0.00  stella::graphics::SpriteSheet::SpriteSheet(stella::graphics::SpriteSheet const&)
  5.26      0.12     0.02   167118     0.00     0.00  stella::graphics::Renderable::GetPos() const
  5.26      0.14     0.02    13932     0.00     0.00  stella::graphics::Renderer::Begin()
  5.26      0.16     0.02                             stbi__create_png_image_raw
  5.26      0.18     0.02                             stbi__parse_huffman_block
  2.63      0.19     0.01   891203     0.00     0.00  std::vector<stella::graphics::Texture*, std::allocator<stella::graphics::Texture*> >::operator[](unsigned long)
  2.63      0.20     0.01   870748     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long) const
  2.63      0.21     0.01   789186     0.00     0.00  entityx::Entity::Id::version() const
  2.63      0.22     0.01   286575     0.00     0.00  std::vector<entityx::BasePool*, std::allocator<entityx::BasePool*> >::size() const
  2.63      0.23     0.01   222655     0.00     0.00  std::vector<std::bitset<64ul>, std::allocator<std::bitset<64ul> > >::operator[](unsigned long)
  2.63      0.24     0.01   167130     0.00     0.00  stella::graphics::Texture::GetWidth() const
  2.63      0.25     0.01   167118     0.00     0.00  stella::graphics::SpriteSheet::GetUV(unsigned int)
  2.63      0.26     0.01   167118     0.00     0.00  stella::graphics::Renderable::GetTexture() const
  2.63      0.27     0.01    79930     0.00     0.00  __gnu_cxx::__normal_iterator<CollisionSystem::Candidate*, std::vector<CollisionSystem::Candidate, std::allocator<CollisionSystem::Candidate> > >::__normal_iterator(CollisionSystem::Candidate* const&)
  2.63      0.28     0.01    18576     0.00     0.00  entityx::EntityManager::ViewIterator<entityx::EntityManager::BaseView<false>::Iterator, false>::ViewIterator(entityx::EntityManager*, std::bitset<64ul>, unsigned int)
  2.63      0.29     0.01    13932     0.00     0.01  stella::graphics::Layer::Render()
  2.63      0.30     0.01    13932     0.00     0.00  stella::graphics::Renderer::Draw()
  2.63      0.31     0.01    13932     0.00     0.01  std::function<void (entityx::Entity, SpatialComponent&, TextureComponent&)>::operator()(entityx::Entity, SpatialComponent&, TextureComponent&) const
  2.63      0.32     0.01     6966     0.00     0.00  ParallaxSystem::update(entityx::EntityManager&, entityx::EventManager&, double)::{lambda(entityx::Entity, SpatialComponent&, ParallaxComponent&)#1}::operator()(entityx::Entity, SpatialComponent&, ParallaxComponent&) const
  2.63      0.33     0.01     3483     0.00     0.00  std::_Function_base::_Base_manager<CollisionSystem::update(entityx::EntityManager&, entityx::EventManager&, double)::{lambda(entityx::Entity, SpatialComponent&, BodyComponent&)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<CollisionSystem::update(entityx::EntityManager&, entityx::EventManager&, double)::{lambda(entityx::Entity, SpatialComponent&, BodyComponent&)#1}> const&, std::_Manager_operation)
  2.63      0.34     0.01     1163     0.01     0.01  stella::graphics::Shader::Enable()
  2.63      0.35     0.01        2     5.00     5.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, stella::graphics::Animator::Animation*>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, stella::graphics::Animator::Animation*> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, stella::graphics::Animator::Animation*> > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  2.63      0.36     0.01        1    10.00    10.00  LightingSystem::~LightingSystem()
  2.63      0.37     0.01                             stbi__zhuffman_decode
  1.32      0.38     0.01    20945     0.00     0.00  std::bitset<64ul>::set(unsigned long, bool)
  1.32      0.38     0.01    16280     0.00     0.00  entityx::ComponentHandle<TextureComponent, entityx::EntityManager>::ComponentHandle(entityx::EntityManager*, entityx::Entity::Id)
  0.00      0.38     0.00  2040480     0.00     0.00  entityx::Entity::Id::index() const
  0.00      0.38     0.00   905167     0.00     0.00  std::vector<stella::graphics::Texture*, std::allocator<stella::graphics::Texture*> >::size() const
  0.00      0.38     0.00   835614     0.00     0.00  glm::vec<2, float, (glm::precision)0>::vec(float, float)
  0.00      0.38     0.00   501355     0.00     0.00  glm::vec<3, float, (glm::precision)0>::vec(float, float, float)
  0.00      0.38     0.00   462314     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::size() const
  0.00      0.38     0.00   461967     0.00     0.00  entityx::EntityManager::valid(entityx::Entity::Id) const
  0.00      0.38     0.00   427491     0.00     0.00  std::_Base_bitset<1ul>::_S_whichbit(unsigned long)
  0.00      0.38     0.00   362146     0.00     0.00  __gnu_cxx::__normal_iterator<stella::graphics::Sprite**, std::vector<stella::graphics::Sprite*, std::allocator<stella::graphics::Sprite*> > >::base() const
  0.00      0.38     0.00   355144     0.00     0.00  std::vector<std::bitset<64ul>, std::allocator<std::bitset<64ul> > >::size() const
  0.00      0.38     0.00   334248     0.00     0.00  __gnu_cxx::new_allocator<glm::vec<4, float, (glm::precision)0> >::~new_allocator()
  0.00      0.38     0.00   334248     0.00     0.00  std::allocator<glm::vec<4, float, (glm::precision)0> >::~allocator()
  0.00      0.38     0.00   334248     0.00     0.00  std::_Vector_base<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > >::_M_get_Tp_allocator()
  0.00      0.38     0.00   334236     0.00     0.00  __gnu_cxx::new_allocator<glm::vec<4, float, (glm::precision)0> >::new_allocator(__gnu_cxx::new_allocator<glm::vec<4, float, (glm::precision)0> > const&)
  0.00      0.38     0.00   334236     0.00     0.00  __gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > >::__normal_iterator(glm::vec<4, float, (glm::precision)0> const* const&)
  0.00      0.38     0.00   334236     0.00     0.00  __gnu_cxx::__normal_iterator<glm::vec<4, float, (glm::precision)0> const*, std::vector<glm::vec<4, float, (glm::precision)0>, std::allocator<glm::vec<4, float, (glm::precision)0> > > >::base() const
  0.00      0.38     0.00   334236     0.00     0.00  std::allocator<glm::vec<4, float, (glm::precision)0> >::allocator(std::allocator<glm::vec<4, float, (glm::precision)0> > const&)
  0.00      0.38     0.00   327219     0.00     0.00  entityx::EntityManager::assert_valid(entityx::Entity::Id) const
  0.00      0.38     0.00   316433     0.00     0.00  std::_Base_bitset<1ul>::_S_maskbit(unsigned long)
  0.00      0.38     0.00   286591     0.00     0.00  std::vector<entityx::BasePool*, std::allocator<entityx::BasePool*> >::operator[](unsigned long)
  0.00      0.38     0.00   260334     0.00     0.00  unsigned long entityx::EntityManager::component_family<SpatialComponent>()
  0.00      0.38     0.00   260334     0.00     0.00  entityx::Component<SpatialComponent>::family()
